Disease,Description
Open Wound of the Knee,A deep cut or laceration on the knee.
Meningioma,A tumor arising from the membranes covering the brain and spinal cord.
Brain Cancer,A type of cancer affecting brain cells.
Placental Abruption,A serious pregnancy complication where the placenta separates from the uterus prematurely.
Seasonal Allergies (Hay Fever),Allergic reactions triggered by pollen and seasonal allergens.
Lung Cancer,A type of cancer that originates in the lungs.
Primary Kidney Disease,A broad term for kidney diseases not related to secondary causes.
Uterine Cancer,A type of cancer affecting the uterus.
Dry Eye of Unknown Cause,Dryness and irritation of the eyes without an identifiable cause.
Fibrocystic Breast Disease,A benign breast condition causing lumpy or painful breasts.
Fungal Infection of the Hair,A fungal infection affecting the scalp and hair.
Tooth Abscess,A bacterial infection at the root of a tooth causing pain and swelling.
Envenomation from Spider or Animal Bite,"Toxic effects from spider or animal bites, requiring medical attention."
VACTERL Syndrome,A rare genetic disorder affecting multiple organ systems.
Vertebrobasilar Insufficiency,A condition where blood flow to the brainstem is reduced.
Rectal Disorder,"Any disorder affecting the rectum, causing discomfort or dysfunction."
Atonic Bladder,A bladder condition leading to urine retention and overflow incontinence.
Benign Paroxysmal Positional Vertigo (BPPV),A condition causing dizziness due to inner ear issues.
Blepharospasm,Uncontrollable eyelid twitching due to nerve or muscle disorders.
Sarcoidosis,"An inflammatory disease affecting multiple organs, often of unknown cause."
Metastatic Cancer,A cancer that spreads from its original site to other parts of the body.
Trigger Finger (Finger Disorder),A condition causing fingers to lock or catch during movement.
Stye,"A painful, swollen lump on the eyelid due to an infected oil gland."
Hemochromatosis,A genetic disorder causing excess iron buildup in the body.
Osteochondroma,A benign bone tumor that forms cartilage and bone tissue.
Cushing Syndrome,A hormonal disorder caused by prolonged exposure to high cortisol levels.
typhoid fever,"A bacterial infection caused by Salmonella typhi, leading to high fever, weakness, and abdominal pain."
vitreous degeneration,"A condition where the vitreous humor in the eye deteriorates, causing floaters and vision changes."
atrophic skin condition,"A condition where the skin becomes thin and fragile, often due to aging or underlying disease."
aspergillosis,"A fungal infection caused by Aspergillus, affecting the lungs and sometimes spreading to other organs."
uterine atony,"Failure of the uterus to contract after childbirth, which can lead to severe bleeding."
trichinosis,"A parasitic infection from consuming undercooked meat, leading to muscle pain and digestive issues."
whooping cough,A contagious bacterial infection causing severe coughing fits and difficulty breathing.
open wound of the lip,"An injury to the lip causing a break in the skin or mucosal tissue, often due to trauma."
subacute thyroiditis,"Inflammation of the thyroid gland, often following a viral infection, causing pain and thyroid dysfunction."
oral mucosal lesion,"A lesion on the mucosal lining of the mouth, often caused by irritation, infection, or an underlying disease."
open wound due to trauma,A wound caused by trauma leading to a break in the skin or underlying tissues.
intracerebral hemorrhage,"Bleeding inside the brain tissue, often caused by high blood pressure or head trauma."
alzheimer disease,A progressive neurological disorder causing memory loss and cognitive decline.
vaginismus,"Involuntary muscle spasms of the vaginal wall, causing pain or difficulty with penetration."
systemic lupus erythematosis (sle),An autoimmune disease causing inflammation and damage to various organs and tissues.
premature ovarian failure,"A condition where the ovaries stop functioning before the age of 40, leading to infertility."
thoracic outlet syndrome,"A disorder caused by compression of nerves or blood vessels in the upper chest, leading to pain and numbness."
ganglion cyst,"A fluid-filled lump that forms on a tendon or joint, commonly on the wrist or hand."
dislocation of the knee,"A displacement of the knee joint, often caused by trauma or sports injuries."
crohn disease,"A chronic inflammatory bowel disease affecting the digestive tract, causing pain and diarrhea."
postoperative infection,"An infection that develops after surgery, often due to bacteria, causing pain and inflammation."
folate deficiency,A deficiency of folic acid leading to anemia and potential birth defects if during pregnancy.
fluid overload,"A condition where the body retains excess fluid, leading to swelling and potential organ strain."
atrial flutter,"An abnormal heart rhythm causing rapid contractions of the atria, leading to palpitations and dizziness."
skin disorder,"A broad term for conditions affecting the skin, such as eczema, acne, or dermatitis."
floaters,"Small specks or clouds that drift through a person’s field of vision, often due to aging."
tooth disorder,"Any disorder affecting teeth, including cavities, infections, and structural abnormalities."
heart attack,"A blockage of blood flow to the heart muscle, leading to chest pain and potential heart damage."
open wound of the abdomen,"An open wound in the abdominal area, often due to trauma or surgery."
fracture of the leg,"A break in one of the bones of the leg, such as the femur, tibia, or fibula."
oral thrush (yeast infection),"A fungal infection in the mouth, causing white patches and soreness, often in immunocompromised patients."
pityriasis rosea,"A temporary rash causing scaly, pinkish patches on the skin, often triggered by viral infections."
allergy to animals,"An allergic reaction to animal dander, saliva, or fur, leading to sneezing and itchy eyes."
orthostatic hypotension,"A drop in blood pressure when standing up, causing dizziness or fainting."
obstructive sleep apnea (osa),A sleep disorder causing repeated breathing interruptions due to airway obstruction.
hypokalemia,"A condition where potassium levels in the blood are too low, causing weakness and arrhythmias."
psoriasis,"A chronic autoimmune condition causing red, scaly patches on the skin."
dislocation of the shoulder,An injury where the upper arm bone pops out of the shoulder socket.
intussusception,"A serious condition where part of the intestine slides into an adjacent part, causing blockage."
cervicitis,"Inflammation of the cervix, often due to infection, leading to discharge and discomfort."
abscess of the pharynx,"A collection of pus in the throat, causing pain, fever, and difficulty swallowing."
primary thrombocythemia,"A blood disorder causing overproduction of platelets, leading to clotting or bleeding problems."
arthritis of the hip,"Inflammation of the hip joint, leading to pain and reduced mobility."
decubitus ulcer,"A pressure ulcer that forms due to prolonged pressure on the skin, often in bedridden individuals."
hypernatremia,"A condition where sodium levels in the blood are too high, leading to confusion and seizures."
sensorineural hearing loss,A type of hearing loss caused by damage to the inner ear or auditory nerve.
chronic ulcer,"A chronic wound that fails to heal properly, often due to poor circulation or diabetes."
osteoporosis,"A condition where bones become weak and brittle, increasing fracture risk."
ileus,"A blockage in the intestines, leading to pain, vomiting, and constipation."
sickle cell crisis,A painful episode in sickle cell disease caused by blocked blood vessels.
urethritis,"Inflammation of the urethra, often due to infection, causing pain and urinary issues."
prostatitis,"Inflammation of the prostate gland, causing pain and urinary difficulties."
otitis externa (swimmer's ear),"An outer ear infection, often due to water exposure, causing pain and swelling."
poisoning due to anticonvulsants,"Toxic effects from anticonvulsant medications, leading to confusion, drowsiness, or seizures."
testicular torsion,"A twisting of the spermatic cord, cutting off blood flow to the testicle, causing severe pain."
tricuspid valve disease,"A disease affecting the tricuspid valve of the heart, leading to blood flow issues."
urethral stricture,"A narrowing of the urethra, causing difficulty in urination and increased infection risk."
vitamin d deficiency,"A deficiency of vitamin D, leading to weak bones and increased fracture risk."
hydatidiform mole,"An abnormal growth of cells in the placenta, often leading to pregnancy complications."
pain disorder affecting the neck,"Chronic pain in the neck region, often caused by injury or underlying conditions."
tuberculosis,A bacterial infection that primarily affects the lungs but can spread to other organs.
pelvic fistula,"An abnormal connection between pelvic organs, leading to leakage of bodily fluids."
acute bronchiolitis,A viral infection that causes inflammation of the small airways in young children.
presbyopia,An age-related condition where the ability to focus on nearby objects declines.
dementia,"A group of symptoms affecting memory, thinking, and social abilities."
insect bite,"A reaction to an insect sting or bite, often leading to swelling and itching."
paroxysmal ventricular tachycardia,A type of irregular heart rhythm originating in the ventricles.
congenital heart defect,"A defect in the structure of the heart present at birth, affecting circulation."
connective tissue disorder,"A group of disorders affecting connective tissues, leading to pain and weakness."
foreign body in the eye,"A foreign object trapped in the eye, causing irritation or damage."
poisoning due to gas,Toxic exposure to gas leading to respiratory issues and poisoning symptoms.
pyogenic skin infection,"A bacterial skin infection causing redness, swelling, and pus formation."
endometrial hyperplasia,"An overgrowth of the uterine lining, often linked to hormonal imbalances."
acanthosis nigricans,"A skin condition causing dark, thick, velvety patches, often linked to insulin resistance."
central atherosclerosis,"Narrowing and hardening of central arteries, leading to reduced blood flow and increased heart disease risk."
viral exanthem,"A widespread skin rash caused by viral infections, often accompanied by fever and malaise."
noninfectious gastroenteritis,"Inflammation of the gastrointestinal tract not caused by infection, leading to nausea, vomiting, and diarrhea."
benign prostatic hyperplasia (bph),"An enlargement of the prostate gland, leading to urinary difficulties in aging men."
menopause,"The natural decline of reproductive hormones in women, marking the end of menstruation."
primary immunodeficiency,"A condition where the immune system is deficient or absent, increasing susceptibility to infections."
ovarian cancer,"A malignant tumor of the ovaries, often detected at advanced stages due to vague symptoms."
cataract,"A clouding of the eye's lens, leading to blurry vision and eventual blindness if untreated."
dislocation of the hip,"A displacement of the hip joint, often due to trauma or congenital conditions."
spinal stenosis,"A narrowing of the spinal canal, causing nerve compression, pain, and mobility issues."
intestinal obstruction,"A blockage in the intestines preventing the passage of food and fluids, leading to severe pain and vomiting."
heart contusion,"Bruising or injury to the heart muscle, often caused by blunt chest trauma."
congenital malformation syndrome,A genetic syndrome involving multiple congenital abnormalities affecting development.
sporotrichosis,"A fungal infection of the skin, lungs, or lymphatic system caused by Sporothrix schenckii."
lymphangitis,"Inflammation of the lymphatic vessels, often due to bacterial infections."
wernicke korsakoff syndrome,"A neurological disorder caused by thiamine deficiency, often seen in alcohol abuse, leading to confusion and memory loss."
intestinal disease,"A broad term for diseases affecting the intestines, including infections and inflammatory conditions."
acute bronchitis,"An inflammation of the bronchial tubes, often caused by viral infections, leading to cough and mucus production."
persistent vomiting of unknown cause,"Recurrent, unexplained vomiting episodes with no clear medical cause."
open wound of the foot,"An injury to the foot causing a break in the skin, often from trauma or puncture wounds."
myocarditis,"Inflammation of the heart muscle, often due to viral infections, leading to chest pain and heart failure."
preeclampsia,"A pregnancy complication characterized by high blood pressure and organ damage, potentially life-threatening."
ischemic heart disease,A group of heart conditions caused by narrowed arteries reducing blood supply to the heart.
neurofibromatosis,"A genetic disorder causing tumor growth along nerves, leading to neurological and skin abnormalities."
chickenpox,A highly contagious viral infection causing an itchy rash and flu-like symptoms.
pancreatic cancer,"A malignant tumor of the pancreas, often detected late due to vague symptoms."
neuropathy due to drugs,"Nerve damage caused by toxic effects of medications, leading to pain and numbness."
croup,"A viral infection causing swelling of the upper airway, leading to a barking cough and breathing difficulty."
idiopathic excessive menstruation,Excessively heavy menstrual bleeding with no clear underlying cause.
amblyopia,"A vision disorder where the brain ignores input from one eye, leading to reduced vision in that eye."
meckel diverticulum,A congenital pouch in the intestine that may cause bleeding or obstruction.
dislocation of the wrist,"A dislocation of the wrist joint, often due to trauma or falls."
ear drum damage,"Damage to the eardrum from trauma, infection, or loud noises, leading to pain and hearing loss."
erectile dysfunction,"Difficulty achieving or maintaining an erection, often due to physical or psychological factors."
temporary or benign blood in urine,"Temporary blood in urine due to minor injury, infection, or exertion."
kidney disease due to longstanding hypertension,"Chronic kidney disease caused by long-term high blood pressure, leading to kidney failure."
chondromalacia of the patella,"Softening and damage to the cartilage in the knee, leading to pain and mobility issues."
onychomycosis,"A fungal infection of the nails, causing thickened, discolored nails."
urethral disorder,"A disorder affecting the urethra, leading to pain, difficulty urinating, or infections."
lyme disease,"A bacterial infection transmitted by ticks, causing fever, joint pain, and neurological issues."
iron deficiency anemia,"A lack of iron in the blood, leading to fatigue, weakness, and pale skin."
acute respiratory distress syndrome (ards),A severe lung condition causing fluid buildup and respiratory failure.
toxic multinodular goiter,"An overactive thyroid condition caused by multiple nodules, leading to hyperthyroidism."
open wound of the finger,"An injury to the finger causing a break in the skin, often due to cuts or trauma."
autonomic nervous system disorder,"A disorder affecting involuntary body functions, leading to issues with heart rate, digestion, and sweating."
psychosexual disorder,A disorder involving sexual dysfunctions or distress related to sexual behavior.
anemia,"A condition with reduced red blood cells, leading to fatigue and weakness."
tendinitis,"Inflammation of a tendon, leading to pain and limited movement."
common cold,"A common viral infection causing a runny nose, cough, and sore throat."
amyotrophic lateral sclerosis (als),A neurodegenerative disease causing muscle weakness and eventual paralysis.
central retinal artery or vein occlusion,"A blockage of blood flow in the central retinal artery or vein, leading to vision loss."
paroxysmal supraventricular tachycardia,"A rapid heart rhythm disorder originating above the ventricles, causing palpitations and dizziness."
venous insufficiency,"Poor circulation in the veins, leading to swelling, pain, and varicose veins."
trichomonas infection,"A sexually transmitted infection caused by a parasite, leading to vaginal or urethral irritation."
acne,"A skin condition causing pimples, blackheads, and inflammation."
depression,"A mood disorder causing persistent sadness, loss of interest, and emotional distress."
drug abuse,A compulsive use of drugs leading to dependence and health complications.
urinary tract obstruction,"A blockage in the urinary tract, leading to difficulty urinating and kidney problems."
diabetes insipidus,A disorder where the body fails to regulate fluid balance due to hormone deficiencies.
iridocyclitis,"Inflammation of the iris and ciliary body of the eye, causing pain and blurred vision."
varicocele of the testicles,"Enlargement of veins in the scrotum, which may lead to infertility."
irritable bowel syndrome,"A chronic disorder causing abdominal pain, bloating, and changes in bowel habits."
fracture of the foot,"A break in the bones of the foot, often due to trauma or stress."
ovarian cyst,"A fluid-filled sac on the ovary, often harmless but sometimes causing pain or complications."
chlamydia,"A common sexually transmitted bacterial infection, often asymptomatic but treatable."
parasitic disease,"An infection or infestation caused by parasites, affecting various organs."
fracture of the jaw,"A break in the jawbone, often due to trauma or accidents."
lipoma,"A benign fatty tumor under the skin, often painless."
female genitalia infection,"An infection of the female genitalia, often caused by bacteria or yeast."
pulmonary hypertension,"High blood pressure in the lungs, leading to shortness of breath and heart strain."
thyroid nodule,"A lump or growth in the thyroid gland, which may be benign or cancerous."
broken tooth,"A break or crack in a tooth, often due to injury or decay."
dumping syndrome,"A condition where food moves too quickly from the stomach to the intestines, causing nausea and diarrhea."
lymphadenitis,"Inflammation of the lymph nodes, often due to infection."
injury to the face,"Trauma to the face, leading to bruising, fractures, or swelling."
aortic valve disease,"A condition affecting the aortic valve, leading to heart complications."
rheumatoid arthritis,"An autoimmune disease causing joint pain, swelling, and damage."
spermatocele,"A fluid-filled cyst in the testicle, often painless."
impetigo,A contagious bacterial skin infection causing sores and crusting.
anal fistula,"A small abnormal connection between the anal canal and skin, causing pain and discharge."
hypothermia,"A dangerous drop in body temperature, leading to confusion and slow heart rate."
oppositional disorder,A behavioral disorder in children marked by defiance and hostility.
migraine,"A neurological disorder causing severe, recurrent headaches."
"diabetic peripheral neuropathy","A type of nerve damage that can occur in individuals with diabetes, affecting the legs and feet, leading to pain, numbness, and weakness."
"testicular disorder","Any condition affecting the testicles, including hormonal imbalances, structural abnormalities, or malignancies, potentially impacting fertility and hormone production."
"gestational diabetes","A form of diabetes that develops during pregnancy, characterized by high blood sugar levels that can affect both mother and baby's health if not managed properly."
"hidradenitis suppurativa","A chronic skin condition featuring small, painful lumps under the skin, typically in areas where skin rubs together, such as the armpits and groin."
"valley fever","An infection caused by inhaling spores of the fungus Coccidioides, prevalent in certain arid regions, leading to flu-like symptoms and, in severe cases, lung complications."
"conjunctivitis due to bacteria","Inflammation of the conjunctiva caused by bacterial infection, resulting in redness, swelling, and a sticky discharge from the eyes."
"lewy body dementia","A progressive neurological disorder characterized by abnormal protein deposits called Lewy bodies in the brain, leading to cognitive decline, visual hallucinations, and motor symptoms."
"multiple myeloma","A cancer of plasma cells in the bone marrow, leading to bone pain, anemia, kidney dysfunction, and increased susceptibility to infections."
"head injury","Any trauma to the scalp, skull, or brain, ranging from mild concussions to severe brain damage, potentially causing cognitive, physical, and emotional impairments."
"ascending cholangitis","A serious bacterial infection of the bile ducts, often due to obstruction, leading to fever, jaundice, and abdominal pain."
"idiopathic irregular menstrual cycle","Irregular menstrual periods without an identifiable cause, potentially affecting fertility and indicating underlying health issues."
"interstitial lung disease","A group of disorders causing progressive scarring of lung tissue, leading to chronic cough, shortness of breath, and decreased oxygen levels."
"mononeuritis","Inflammation or damage to a single peripheral nerve, causing pain, weakness, or loss of function in the affected area."
"malaria","A life-threatening disease caused by Plasmodium parasites, transmitted through the bite of infected Anopheles mosquitoes, leading to fever, chills, and flu-like symptoms."
"somatization disorder","A mental health condition characterized by recurring, multiple physical complaints without a medical explanation, often linked to psychological distress."
"hypovolemia","A condition characterized by a decreased volume of circulating blood in the body, leading to symptoms like dizziness, rapid heartbeat, and, in severe cases, shock."
"schizophrenia","A chronic psychiatric disorder involving distortions in thinking, perception, emotions, and behavior, often manifesting as hallucinations and delusions."
"knee ligament or meniscus tear","Injury to the ligaments or meniscus of the knee, resulting in pain, swelling, and instability, commonly occurring during sports activities."
"endocarditis","Inflammation of the inner lining of the heart chambers and valves, usually due to infection, leading to fever, heart murmurs, and potential heart failure."
"sepsis","A life-threatening condition caused by the body's extreme response to an infection, leading to tissue damage, organ failure, and death if not promptly treated."
"heat stroke","A severe heat-related illness occurring when the body overheats, with core temperature exceeding 104°F (40°C), leading to confusion, organ damage, and potentially death."
"cholecystitis","Inflammation of the gallbladder, often due to gallstones blocking the cystic duct, causing severe abdominal pain, fever, and nausea."
"cardiac arrest","A sudden cessation of heart function, leading to loss of consciousness and absence of breathing, requiring immediate medical intervention."
"cardiomyopathy","A group of diseases affecting the heart muscle, leading to impaired ability to pump blood, potentially resulting in heart failure."
"social phobia","An anxiety disorder characterized by intense fear of social situations, leading to avoidance behaviors and significant distress in social interactions."
"meningitis","Inflammation of the protective membranes covering the brain and spinal cord, often due to infection, leading to headache, fever, and neck stiffness."
"spherocytosis","A hereditary condition characterized by the presence of spherocytes (abnormally shaped red blood cells) in the blood, leading to hemolytic anemia."
"hormone disorder","Any imbalance or dysfunction in the body's hormone production or regulation, affecting various bodily functions and processes."
"raynaud disease","A condition causing some areas of the body, particularly fingers and toes, to feel numb and cold in response to cold temperatures or stress due to small artery spasms."
"reactive arthritis","Joint inflammation that develops as a reaction to an infection in another part of the body, often affecting the knees, ankles, and feet."
"scabies","A contagious skin infestation caused by the mite Sarcoptes scabiei, leading to intense itching and a pimple-like rash."
"ear wax impaction","Accumulation of earwax causing blockage of the ear canal, leading to hearing loss, discomfort, and sometimes dizziness."
"hypertension of pregnancy","High blood pressure that develops during pregnancy, potentially leading to complications such as preeclampsia if not managed appropriately."
"peripheral arterial embolism","A sudden blockage of an artery in the limbs due to an embolus, leading to pain, numbness, and potential tissue damage."
"rosacea","A chronic skin condition causing redness, visible blood vessels, and sometimes acne-like bumps on the face."
"fracture of the skull","A break in one or more bones of the skull, potentially leading to brain injury, bleeding, and other complications."
"uveitis","Inflammation of the uvea, the middle layer of the eye, causing redness, pain, blurred vision, and light sensitivity."
"fracture of the facial bones","Breaks in the bones of the face, often resulting from trauma, leading to pain, swelling, and deformity."
"tracheitis","Inflammation of the trachea, often due to bacterial infection, leading to cough, fever, and breathing difficulties."
"jaw disorder","Any condition affecting the temporomandibular joint (TMJ) or jaw muscles, causing pain, clicking sounds, and difficulty chewing."
"perirectal infection","An infection occurring in the tissues surrounding the rectum, often leading to abscess formation and pain."
"breast cyst","Fluid-filled sacs within the breast tissue, often benign but sometimes causing discomfort or pain."
"post-traumatic stress disorder (ptsd)","A mental health condition triggered by experiencing or witnessing a traumatic event, leading to flashbacks, nightmares, and severe anxiety."
"kidney cancer","A type of cancer that originates in the kidneys, with renal cell carcinoma being the most common type, often presenting with blood in the urine and flank pain."
"vulvar cancer","A rare cancer occurring on the outer surface area of the female genitalia, often presenting with itching, pain, or a lump."
"blepharitis","Inflammation of the eyelids, leading to redness, swelling, itching, and crusting of the eyelashes."
"celiac disease","An immune reaction to eating gluten, a protein found in wheat, barley, and rye, leading to damage in the small intestine's lining and hindering nutrient absorption."
"cystitis","Inflammation of the bladder, often caused by a bacterial infection, resulting in pain, urgency, and frequent urination."
"sickle cell anemia","A genetic blood disorder causing red blood cells to become misshapen and break down, leading to anemia, pain, and potential organ damage."
"subconjunctival hemorrhage","A condition where a small blood vessel breaks just underneath the eye's clear surface, causing a red spot on the white of the eye."
"hemorrhoids","Swollen veins in the lower rectum and anus, leading to discomfort, itching, and bleeding during bowel movements."
"contact dermatitis","A skin rash caused by contact with a certain substance, leading to redness, itching, and inflammation."
"sinus bradycardia","A slower than normal heart rate, originating from the heart's natural pacemaker, which may cause dizziness, fatigue, or no symptoms at all."
"high blood pressure","A condition where the force of the blood against the artery walls is too high, potentially leading to heart disease and stroke."
"pelvic inflammatory disease","An infection of the female reproductive organs, often caused by sexually transmitted bacteria, leading to pain and potential fertility issues."
"liver disease","A broad term encompassing various conditions affecting liver function, including hepatitis, fatty liver, and cirrhosis."
"chronic constipation","A condition characterized by infrequent bowel movements or difficulty passing stools, persisting for several weeks or longer."
"thyroid cancer","A type of cancer that originates in the thyroid gland, which regulates metabolism, and may present as a lump in the neck."
"flu","A contagious respiratory illness caused by influenza viruses, leading to symptoms like fever, cough, and body aches."
"friedreich ataxia","A rare inherited disease causing progressive damage to the nervous system, leading to movement problems and loss of coordination."
"tic (movement) disorder","A condition characterized by sudden, repetitive, nonrhythmic movements or sounds, such as blinking or throat clearing."
"skin polyp","A small, benign growth on the skin's surface, often appearing as a bump or tag."
"brachial neuritis","An inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness."
"cervical cancer","A malignant tumor of the cervix, often associated with human papillomavirus (HPV) infection."
"adrenal adenoma","A benign tumor of the adrenal gland, which may affect hormone production and lead to various symptoms."
"esophagitis","Inflammation of the esophagus, often caused by acid reflux, leading to pain and difficulty swallowing."
"gas gangrene","A severe form of tissue death caused by bacterial infection, producing gas within tissues and leading to rapid spread and systemic toxicity."
"yeast infection","An overgrowth of Candida fungi, commonly affecting areas like the mouth (thrush) or genital region, leading to itching and discharge."
"spina bifida","A birth defect where the spine and spinal cord don't form properly, potentially causing physical and intellectual disabilities."
"drug poisoning due to medication","Harmful effects resulting from the ingestion or exposure to excessive amounts of a drug or medication."
"alcoholic liver disease","Liver damage resulting from excessive alcohol consumption, leading to conditions like fatty liver, hepatitis, or cirrhosis."
"malignant hypertension","A severe form of high blood pressure that progresses rapidly and can lead to organ damage."
"diverticulitis","Inflammation or infection of small pouches (diverticula) that can form in the walls of the digestive tract, leading to abdominal pain and fever."
"moyamoya disease","A rare, progressive cerebrovascular disorder caused by blocked arteries at the base of the brain, leading to strokes or hemorrhages."
"heat exhaustion","A heat-related illness resulting from excessive exposure to high temperatures, causing symptoms like heavy sweating and rapid pulse."
"psychotic disorder","A mental health condition characterized by a disconnection from reality, including symptoms like delusions and hallucinations."
"frostbite","Damage to skin and underlying tissues caused by extreme cold, leading to numbness and discoloration of affected areas."
"atrophy of the corpus cavernosum","A condition involving the degeneration or shrinkage of the corpus cavernosum, erectile tissue in the penis."
"smoking or tobacco addiction","Dependence on nicotine found in tobacco products, leading to health issues like lung disease and cancer."
"sprain or strain","Injuries to ligaments (sprain) or muscles/tendons (strain) caused by overstretching or tearing."
"essential tremor","A neurological disorder causing involuntary and rhythmic shaking, often in the hands."
"open wound of the ear","A break in the skin or tissue of the ear, often caused by trauma."
"foreign body in the nose","The presence of an object in the nasal cavity, which can cause discomfort or breathing difficulties."
"idiopathic painful menstruation","Menstrual pain without an identifiable cause, also known as primary dysmenorrhea."
"down syndrome","A genetic disorder caused by the presence of an extra chromosome 21, leading to developmental and intellectual delays."
"idiopathic infrequent menstruation","Irregular menstrual cycles without a known cause, also referred to as oligomenorrhea."
"pneumothorax","A collapsed lung occurring when air leaks into the space between the lung and chest wall, causing sudden chest pain and shortness of breath."
"de quervain disease","A painful condition affecting the tendons on the thumb side of the wrist, leading to pain and swelling."
"fracture of the vertebra","A break in one of the bones forming the spine, potentially causing pain and mobility issues."
"human immunodeficiency virus infection (hiv)","A virus that attacks the body's immune system, potentially leading to acquired immunodeficiency syndrome (AIDS) if untreated."
"mumps","A viral infection affecting the salivary glands, leading to swelling, fever, and muscle aches."
"subarachnoid hemorrhage","Bleeding in the space between the brain and the thin tissues covering it, often due to a ruptured aneurysm, leading to sudden severe headache and potential neurological impairment."
"acute fatty liver of pregnancy (aflp)","A rare, potentially life-threatening complication of pregnancy characterized by the accumulation of fat in liver cells, leading to liver dysfunction."
"ectropion","A condition where the eyelid turns outward, exposing the inner surface and leading to irritation and dryness."
"scar","Fibrous tissue that replaces normal skin after an injury, resulting in a mark left on the skin."
"lactose intolerance","The inability to digest lactose, a sugar found in milk and dairy products, leading to gastrointestinal symptoms like bloating and diarrhea."
"eustachian tube dysfunction (ear disorder)","Impairment of the eustachian tube's ability to equalize middle ear pressure, causing symptoms like ear fullness and hearing difficulties."
"appendicitis","Inflammation of the appendix, causing abdominal pain, fever, and nausea; requires prompt medical attention."
"graves disease","An autoimmune disorder leading to overactivity of the thyroid gland (hyperthyroidism), resulting in symptoms like weight loss, rapid heartbeat, and bulging eyes."
"dissociative disorder","A mental health condition involving disruptions or breakdowns of memory, awareness, identity, or perception."
"open wound of the face","An injury resulting in a break in the skin on the face, potentially involving bleeding and risk of infection."
"dislocation of the vertebra","A condition where a vertebra is displaced from its normal position, potentially compressing spinal nerves and causing pain or neurological symptoms."
"phimosis","A condition where the foreskin of the penis cannot be retracted over the glans, potentially leading to discomfort or infection."
"hyperemesis gravidarum","Severe nausea and vomiting during pregnancy, leading to dehydration and weight loss."
"pregnancy","The condition of carrying one or more embryos or fetuses in the womb."
"thalassemia","A group of inherited blood disorders characterized by reduced hemoglobin production, leading to anemia."
"placenta previa","A pregnancy complication where the placenta covers the cervix, leading to bleeding and potential delivery complications."
"epidural hemorrhage","Bleeding between the inner surface of the skull and the outer layer of the dura mater, often due to trauma."
"septic arthritis","Infection in a joint, leading to pain, swelling, and fever; requires prompt treatment to prevent joint damage."
"athlete's foot","A fungal infection affecting the skin between the toes, leading to itching, redness, and cracking."
"pleural effusion","Accumulation of excess fluid between the layers of the pleura surrounding the lungs, causing chest pain and breathing difficulties."
"aphakia","Absence of the lens of the eye, often due to surgical removal, leading to focusing difficulties."
"vulvar disorder","Any condition affecting the external female genitalia, leading to symptoms like itching, pain, or lesions."
"sialoadenitis","Inflammation of a salivary gland, often due to infection, causing pain and swelling."
"gynecomastia","Enlargement of male breast tissue, often due to hormonal imbalances or medication side effects."
"urinary tract infection","Infection in any part of the urinary system, causing symptoms like burning urination and frequent urges to urinate."
"histoplasmosis","A fungal infection caused by inhaling spores, leading to respiratory symptoms and, in severe cases, affecting other organs."
"erythema multiforme","An acute skin reaction characterized by red, target-like spots, often in response to infections or medications."
"scoliosis","A sideways curvature of the spine, which can lead to posture issues and, in severe cases, breathing difficulties."
"bunion","A bony bump that forms on the joint at the base of the big toe, causing pain and deformity."
"arrhythmia","An irregular heartbeat, which can be too fast, too slow, or erratic, potentially leading to various health complications."
"trigeminal neuralgia","A chronic pain condition affecting the trigeminal nerve, leading to severe facial pain."
"ankylosing spondylitis","A type of arthritis that causes inflammation of the spine and large joints, leading to stiffness and pain."
"peripheral nerve disorder","Conditions affecting the peripheral nerves, leading to symptoms like weakness, numbness, and pain, often in the hands and feet."
"sebaceous cyst","A noncancerous, small lump beneath the skin, often appearing on the face, neck, or torso, filled with sebum."
"poisoning due to antipsychotics","Toxic effects resulting from an overdose or adverse reaction to antipsychotic medications."
"neurosis","A term historically used to describe a range of mental health conditions involving chronic distress but without delusions or hallucinations."
"prostate cancer","A malignant tumor in the prostate gland, common in older men, which can affect urinary and sexual function."
"cerebral edema","Swelling of the brain caused by the accumulation of fluid, leading to increased intracranial pressure."
"dislocation of the finger","Displacement of the bones in a finger joint, leading to pain, deformity, and impaired function."
"birth trauma","Physical injury sustained by a newborn during delivery, which can affect various parts of the body."
"chronic pancreatitis","Long-standing inflammation of the pancreas that alters its normal structure and functions, leading to digestive issues and pain."
"hematoma","A localized collection of blood outside the blood vessels, due to a break in the wall of a blood vessel."
"carcinoid syndrome","A set of symptoms caused by a carcinoid tumor, including flushing, diarrhea, and wheezing, due to hormone secretion."
"open wound of the head","An injury resulting in a break in the skin on the head, potentially involving bleeding and risk of infection."
"seborrheic keratosis","A common noncancerous skin growth that appears as a brown, black, or light tan growth on the face, chest, shoulders, or back."
"burn","Damage to the skin or other tissues caused by heat, chemicals, electricity, or radiation."
"spontaneous abortion","The medical term for a miscarriage, referring to the loss of a pregnancy before the fetus can survive outside the uterus."
"genital herpes","A sexually transmitted infection caused by the herpes simplex virus, leading to painful sores in the genital area."
"adjustment reaction","An emotional or behavioral response to a stressful event or change, considered excessive or impairing daily functioning."
